"cod_producto","cod_barra","nombre_producto","descripcion_producto_previa"
"10192","335","CIRUGIA CONVENCIONAL SIN REAPSORCION (PEDIATRICA)",""
"10193","799","	FLURIZACION GEL/BARNIZ(PEDIATRIA)",""
"10194","008","CIRUGÍA DIENTES ANTERIORES TEMPORARIAS (PEDIATRÍA)",""
"10195","990","HULECTOMIA ",""
"10196","024","URGENCIA ENDODÓNTICA",""
"10199","996","CORONA DE ZIRCONIO ",""
"10200","995","CORONA METAL CERAMICO",""
"10201","994","CORONA METAL PORCELANA",""
"10209","4","ORTODONCIA CONVENCIONAL BRACKET ESTETICO X24  (BRACKET CERAMICO)",""
"10210","5","ORTODONCIA CONVENCIONAL BRACKET ESTETICO X36  (BRACKET CERAMICO)",""
"10211","8","CONTENCION FIJA INFERIOR",""
"10217","119","PROTESIS FLEXIBLE UNILATERAL (UN SOLO DIENTE )",""
"10218","117","PROTESIS FLEXIBLE UNILATERAL (HASTA 4 DIENTES )",""
"10219","197","PROTESIS PROVISORIA (ACRILICO AUTOCURADO)  UNILATERAL ",""
"10220","48","AGREGADO DE 1 DIENTE (PROTESIS DE ACRILICO) ",""
"10221","200","PIPC ? PISTAS INDIRECTAS PLANAS COMPUESTAS (CON/SIN EQUIPLAN)",""
"10222","198","EXTRACCIÓN DIENTE SUPERNUMERARIO SIN  ERUPCIONAR ",""
"10223","243","PROTESIS PROVISORIA TOTAL O PARCIAL (ACRILICO AUTOCURADO) LABORATORIO",""
"10224","199","DIENTE SUPERNUMERARIO (RUPCIONADO) SIMPLE",""
"10225","194","PIEZA DE PUENTE DE FIBRA Y CEROMERO X CORONA/DIENTE  (LABORATORIO)",""
"10238","136","BY HELLIX (LABORATORIO EN FOZ DO IGUACU)",""
"10239","777","RADIOGRAFIA SERIADA PARA PERIODONCIA",""
"10240","345","BIONATOR ESPECIALCO ORTONCIA (ORTOPEDICO)
 ESTIMULADOR DEL CRECIMIENTO MANDIBULAR",""
"10241","747","EXODONCIA QUIRURGICA DE DIENTE RETENIDO EN PALADAR (CIRUGIA EN QUIROFANO)",""
"10242","157","PROTESIS TRANSPARENTE ",""
"10243","071","INSTALACION DE BRACKETS POR ARCADA",""
"10244","296","MANTENIMIENTO DE URGENCIA BRACKETS POR ARCADA",""
"10245","370","CONSULTA CON ESPECIALISTA DERIVADA",""
"10246","182","EXTIRPACIÓN QUIRÚRGICA DE HIPERPLASIA PALATINA (REMOCIÓN DE TEJIDO EN PALADAR)",""
"10247"," 182","EXTIRPACIÓN QUIRÚRGICA DE HIPERPLASIA PALATINA (REMOCIÓN DE TEJIDO EN PALADAR)",""
